Screenname,Legacy_Verified,Follower_Count,Subscription_Date,Status
elonmusk,V,127941571,11/10/2022,U
iamcardib,V,28429458,1/4/2023,B
SnoopDogg,V,21014992,11/10/2022,B
Benzema,V,19268796,12/20/2022,B
MrBeast,V,18285559,11/10/2022,B
theweeknd,V,17237545,1/8/2023,B
UberFacts,V,13622356,1/19/2023,B
ToniKroos,V,11393053,12/20/2022,B
IvankaTrump,V,10550158,12/22/2022,B
AdamSchefter,V,10191400,1/14/2023,B
DonaldJTrumpJr,V,9598371,1/26/2023,B
dog_rates,V,9384445,12/29/2022,B
carmeloanthony,V,9259302,12/16/2022,B
GaryLineker,V,8693182,12/29/2022,B
Zedd,V,7633390,11/10/2022,B
la_patilla,V,7523026,12/17/2022,B
cuneytozdemir,V,7326804,1/21/2023,B
jack,V,6572225,11/10/2022,U
jccaylen,V,6336132,11/28/2022,B
seanhannity,V,6306892,12/20/2022,B
allkpop,V,6118584,1/14/2023,B
MKBHD,V,6035119,1/26/2023,B
Dream,V,5926495,11/10/2022,B
booba,V,5908365,1/15/2023,U
vinijr,V,5658656,12/20/2022,B
wikileaks,V,5649698,12/22/2022,B
cuppymusic,V,5647992,12/28/2022,B
BillSimmons,V,5641276,12/23/2022,B
benshapiro,V,5456704,12/15/2022,B
ARYNEWSOFFICIAL,V,5257103,12/30/2022,B
lilyallen,V,5145545,11/10/2022,U
DaniCarvajal92,V,4664027,12/20/2022,B
jakepaul,V,4565386,12/22/2022,B
altonbrown,V,4420251,12/22/2022,B
wroetoshaw,V,4352746,11/10/2022,U
lukamodric10,V,4284884,12/20/2022,B
cher,V,4048341,1/27/2023,B
dbongino,V,3966685,11/10/2022,B
KP24,V,3952188,12/17/2022,B
jordanbpeterson,V,3824768,12/22/2022,B
fashionpressnet,V,3778614,2/4/2023,B
Jason_Aldean,V,3770557,12/16/2022,B
takapon_jp,V,3558907,1/13/2023,B
DezBryant,V,3523756,1/13/2023,B
thibautcourtois,V,3488576,12/20/2022,B
atsushilonboo,V,3328094,1/15/2023,B
pulte,V,3324046,12/16/2022,B
MrAncelotti,V,3308285,12/23/2022,B
TheChainsmokers,V,3305429,1/6/2023,B
GilDoVigor,V,3232526,1/14/2023,B
nachofi1990,V,3214971,12/29/2022,B
MCHammer,V,3207568,1/19/2023,B
arynewsud,V,3197813,1/10/2023,B
David_Alaba,V,3145865,12/26/2022,B
kojiharunyan,V,3116370,1/15/2023,B
DineshDSouza,V,3089276,1/24/2023,B
saylor,V,2932426,1/13/2023,B
russellcrowe,V,2922074,1/14/2023,B
marcoasensio10,V,2820976,1/10/2023,B
PatMcAfeeShow,V,2790922,12/29/2022,B
Franklin_Graham,V,2789523,12/22/2022,B
marwilliamson,V,2764091,1/11/2023,B
faridyu,V,2730287,1/19/2023,B
amrmsalama,V,2727493,2/2/2023,B
KEEMSTAR,V,2708544,12/30/2022,B
RodrygoGoes,V,2672284,12/20/2022,B
drdrew,V,2669330,12/22/2022,B
ProjectLincoln,V,2666770,1/23/2023,B
lexfridman,V,2610025,1/13/2023,B
NatbyNature,V,2463985,1/11/2023,U
Koreaboo,V,2462401,11/10/2022,B
AlissaViolet,V,2448348,11/11/2022,B
abdelbariatwan,V,2413724,1/28/2023,B
LouDobbs,V,2378952,12/16/2022,B
moatazmatar,V,2369634,1/15/2023,B
ZerkaaHD,V,2350784,11/10/2022,B
nybooks,V,2295664,12/14/2022,B
siasatpk,V,2240701,12/16/2022,B
TrueKofi,V,2235842,12/31/2022,B
AlbertoRavell,V,2213980,12/17/2022,B
gtconway3d,V,2155623,1/23/2023,B
TomFitton,V,2058236,1/5/2023,B
6BillionPeople,V,2051431,11/10/2022,B
williecolon,V,2001803,1/14/2023,B
12numaraorg,V,2001788,12/30/2022,B
mattgaetz,V,1990052,11/10/2022,B
opensea,V,1989274,12/16/2022,B
kiyo_saiore,V,1981067,1/22/2023,B
fedeevalverde,V,1975719,12/25/2022,B
DiamondandSilk,V,1972598,12/14/2022,B
JudicialWatch,V,1966758,1/5/2023,B
JackPosobiec,V,1963328,1/20/2023,B
Lucasvazquez91,V,1945171,12/28/2022,B
iamblackbear,V,1934315,1/20/2023,B
FINALLEVEL,V,1932418,12/30/2022,B
thereallisaann,V,1926282,11/10/2022,B
0xPolygon,V,1850084,12/30/2022,U
KennyHamilton,V,1804455,1/21/2023,B
RobertAlai,V,1793936,12/20/2022,B
BabyDogeCoin,V,1765963,11/11/2022,B
SypherPK,V,1745311,1/20/2023,B
ToniRuediger,V,1737570,12/25/2022,B
AndrewYang,V,1718266,1/19/2023,B
ErnestoChavana,V,1713882,1/15/2023,B
kauweb,V,1712445,1/10/2023,B
LudwigAhgren,V,1707570,11/11/2022,U
TmarTn,V,1707332,11/10/2022,B
GFuelEnergy,V,1686905,11/10/2022,U
TO_TOSHIMITSU,V,1680195,1/15/2023,B
chamath,V,1644816,12/23/2022,B
Temperrr,V,1617852,1/5/2023,B
ReinaldoProfeta,V,1573277,2/4/2023,B
CathieDWood,V,1571889,12/16/2022,B
TEDchris,V,1546350,1/20/2023,B
tsuda,V,1499309,1/13/2023,B
omarepps,V,1490425,11/11/2022,B
geoffkeighley,V,1490058,1/19/2023,B
SaraCarterDC,V,1486126,1/11/2023,B
KendraLust,V,1473418,1/12/2023,B
GustavoBolivar,V,1469022,12/30/2022,B
FatmaSahin,V,1455503,1/10/2023,B
CynthiaLIVE,V,1435812,12/28/2022,B
kenichiromogi,V,1432204,1/28/2023,B
TraceeEllisRoss,V,1422001,12/2/2022,B
sherryrehman,V,1388580,1/14/2023,B
brithume,V,1382077,12/14/2022,B
MichelleDBeadle,V,1374384,1/5/2023,B
oO0Eve0Oo,V,1368848,2/1/2023,B
makaumutua,V,1346057,12/6/2022,B
safemoon,V,1342440,1/27/2023,B
Grimezsz,V,1340457,12/22/2022,B
iorimoe_five,V,1337279,1/18/2023,B
TansuYegen,V,1321238,12/22/2022,B
takuya_hyon,V,1314613,1/14/2023,B
KimDotcom,V,1296927,12/22/2022,B
bennyjohnson,V,1290042,1/11/2023,B
MASAI_Fischers,V,1276716,1/14/2023,B
OgbeniDipo,V,1274101,11/28/2022,B
jenfoxxuwu,V,1273957,11/10/2022,B
DiscoverMag,V,1261531,1/27/2023,B
LILBTHEBASEDGOD,V,1259179,1/11/2023,B
youtooz,V,1244655,11/11/2022,B
